title
Razer Blade 15 Gaming Laptop: NVIDIA GeForce RTX 3070 Ti - 12th Gen Intel 14-Core i7 CPU - 15.6” FHD 360Hz - 16GB DDR5 RAM - 1TB PCIe SSD - Windows 11 - CNC Aluminum - Chroma RGB - Thunderbolt 4
"Gateway Ultra Slim Notebook - 14.1"" FHD Laptop - Intel Core i5-1135G7, 16GB RAM, 512GB SSD, Windows 10 Home - Black (GWTN141-10BK)"
"Dell Alienware m18 Gaming Laptop (2023) | 18"" FHD+ | Core i9-4TB SSD - RAM - RTX 4070 | 24 Cores @ 5.4 GHz - 13th Gen CPU - 8GB GDDR6X Win 11 Pro"
"Dell Latitude 7490 14"" FHD Touch Screen Laptop Intel Core i7-8650U 16GB DDR4 RAM 512GB SSD, Fingerprint Reader, Backlit Keyboard, Grey Metal Shell, Windows 10 Pro (Renewed)"
Dell Latitude 5410 Laptop 14 - Intel Core i5 10th Gen - i5-10310U - Quad Core 4.4Ghz - 512GB SSD - 16GB RAM - 1920x1080 FHD - Windows 10 Pro (Renewed)
"Dell Latitude 5000 5430 Laptop (2022) | 14"" FHD | Core i7-1TB SSD - 32GB RAM | 10 Cores @ 4.7 GHz - 12th Gen CPU Win 11 Pro (Renewed)"
"Dell Inspiron 3000 i3520 15.6"" 120Hz FHD(1920x1080) Laptop (2023 New) | Intel 10-Core i7-1255U Processor | Iris Xe Graphics | WiFi 6 | 24GB DDR4 Memery | 2TB SSD Storage | Win10 Home"
"Dell Latitude 5000 5530 Laptop (2022) | 15.6"" FHD | Core i5-512GB SSD - 32GB RAM | 10 Cores @ 4.4 GHz - 12th Gen CPU Win 11 Pro (Renewed)"
Dell Latitude 5490 Laptop 14 - Intel Core i7 8th Gen - i7-8650U - Quad Core 4.2Ghz - 256GB SSD - 8GB RAM - 1366x768 HD - Windows 10 Pro (Renewed)
"Dell Inspiron I3505 15.6"" FHD (1920 x 1080) Laptop (2023 New) | AMD Ryzen 5 3450U Processor | Radeon Vega 8 Graphics | HDMI | RJ-45 | 20GB DDR4 Memery | 512GB SSD Storage | Black | Win11 Home"
"Dell Latitude Rugged 5430 Laptop (2022) | 14"" FHD Touch | Core i5-128GB SSD - 16GB RAM | 4 Cores @ 4.2 GHz - 11th Gen CPU Win 11 Pro (Renewed)"
"Dell G16 7620 Gaming Laptop (2022) | 16"" QHD+ | Core i7-1TB SSD - 24GB RAM - 3050 Ti | 14 Cores @ 4.7 GHz - 12th Gen CPU Win 10 Home"
"Dell Latitude 5000 5520 Laptop (2021) | 15.6"" FHD | Core i7-512GB SSD - 64GB RAM | 4 Cores @ 4.4 GHz - 11th Gen CPU Win 11 Pro (Renewed)"
"Dell XPS 15 9520 Laptop (2022) | 15.6"" FHD+ | Core i7 - 512GB SSD - 32GB RAM - RTX 3050 | 14 Cores @ 4.7 GHz - 12th Gen CPU Win 11 Home"
"Dell Latitude 5000 5430 Laptop (2022) | 14"" HD | Core i5-256GB SSD - 8GB RAM | 10 Cores @ 4.4 GHz - 12th Gen CPU Win 11 Pro"
